,expt,date,genotype,percentDEET,stimulus,sum,CI,
792,drc,20160713,N2,0.1,IAA,70,0.571428571,
798,drc,20160713,N2,0.1,IAA,106,0.358490566,
804,drc,20160713,N2,0.1,IAA,79,0.303797468,
810,drc,20160713,N2,0.15,IAA,95,0.105263158,
816,drc,20160713,N2,0.15,IAA,92,-0.02173913,
822,drc,20160713,N2,0.15,IAA,60,0.266666667,
828,drc,20160713,N2,0.2,IAA,99,0.404040404,
840,drc,20160713,N2,0.2,IAA,51,0.019607843,
846,odor,20160811,N2,0.15,IAA,95,0.063157895,
852,odor,20160811,N2,0.15,IAA,79,0.025316456,
858,odor,20160811,N2,0.15,IAA,107,-0.158878505,
864,odor,20160811,N2,0.15,pyrazine,86,0.860465116,
870,odor,20160811,N2,0.15,pyrazine,75,0.546666667,
876,odor,20160811,N2,0.15,pyrazine,113,0.707964602,
882,odor,20160811,N2,0.15,pyrazine,214,0.747663551,
888,odor,20160811,N2,0.15,pyrazine,95,0.736842105,
894,odor,20160811,N2,0.15,pyrazine,144,0.729166667,
900,odor,20160811,N2,0.15,pyrazine,142,0.73943662,
906,odor,20160811,N2,0.15,pyrazine,57,0.701754386,
912,odor,20160811,N2,0.15,pyrazine,167,0.652694611,
918,rescue,20160820,ewIR74,0,IAA,126,0.777777778,
924,rescue,20160820,ewIR74r,0,IAA,115,0.913043478,
930,rescue,20160820,ewIR74,0.15,IAA,75,0.28,
936,rescue,20160820,ewIR74,0,IAA,76,0.447368421,
942,rescue,20160820,ewIR74,0.15,IAA,65,0.107692308,
948,hawaiian,20160820,hawaiian,0,IAA,74,0.864864865,
954,hawaiian,20160820,hawaiian,0,IAA,77,0.558441558,
960,hawaiian,20160820,hawaiian,0.15,IAA,76,0.263157895,
966,hawaiian,20160820,hawaiian,0.15,IAA,81,0.49382716,
972,hawaiian,20160820,ewIR76,0,IAA,102,0.833333333,
978,hawaiian,20160820,ewIR76,0,IAA,114,0.947368421,
984,hawaiian,20160820,ewIR76,0.15,IAA,53,-0.245283019,
990,hawaiian,20160820,ewIR76,0.15,IAA,54,0.055555556,
996,hawaiian,20160820,ewIR73,0,IAA,84,0.642857143,
1002,hawaiian,20160820,ewIR73,0,IAA,68,0.705882353,
1008,odor,20160819,N2,0,nonanone,67,-0.76119403,
1014,odor,20160819,N2,0,butanone,137,0.883211679,
1020,odor,20160819,N2,0.15,nonanone,72,-0.25,
1038,odor,20160819,N2,0.15,butanone,57,0.350877193,
1044,odor,20160818,N2,0,IAA,138,0.884057971,
1050,odor,20160818,N2,0.15,IAA,68,0.352941176,
1056,odor,20160818,N2,0,pyrazine,163,0.987730061,
1098,odor,20160824,N2,0,nonanone,71,-0.718309859,
1104,odor,20160824,N2,0,nonanone,108,-0.796296296,
1122,odor,20160824,N2,0.15,nonanone,50,0.3,
1128,odor,20160824,N2,0.15,nonanone,67,0.014925373,
1134,odor,20160824,N2,0,butanone,100,0.74,
1140,odor,20160824,N2,0,butanone,58,1,
1146,odor,20160824,N2,0,butanone,51,0.745098039,
1152,odor,20160824,N2,0,butanone,120,0.925,
1164,odor,20160824,N2,0.15,butanone,50,0.42,
1170,odor,20160826,N2,0,pyrazine,235,0.995744681,
1176,odor,20160826,N2,0,pyrazine,134,0.97761194,
1182,odor,20160826,N2,0,pyrazine,228,0.978070175,
1188,odor,20160826,N2,0,pyrazine,235,0.970212766,
1194,odor,20160826,N2,0,pyrazine,227,0.986784141,
1206,odor,20160826,N2,0,pyrazine,174,0.988505747,
1212,odor,20160826,N2,0,pyrazine,199,0.979899497,
1218,odor,20160826,N2,0,pyrazine,99,0.929292929,
1224,odor,20160826,N2,0.15,pyrazine,96,0.916666667,
1230,odor,20160826,N2,0.15,pyrazine,100,0.94,
1254,rescue,20160829,ewIR74r,0,IAA,143,0.776223776,
1260,rescue,20160829,ewIR74r,0,IAA,55,0.781818182,
1266,hawaiian,20160829,ewIR73,0.15,IAA,52,-0.307692308,
1272,rescue,20160829,ewIR74r,0,IAA,122,0.729508197,
1284,hawaiian,20160829,ewIR73,0.15,IAA,52,-0.307692308,
1296,hawaiian,20160829,ewIR73,0,IAA,148,0.27027027,
1302,rescue,20160829,ewIR74r,0,IAA,159,0.735849057,
1308,rescue,20160829,ewIR74r,0,IAA,180,0.511111111,
1314,rescue,20160829,ewIR74r,0,IAA,92,0.532608696,
1320,rescue,20160829,ewIR74r,0,IAA,154,0.61038961,
1326,rescue,20160829,ewIR74r,0,IAA,139,0.064748201,
1332,hawaiian,20160829,ewIR73,0,IAA,148,0.290540541,
1338,hawaiian,20160829,ewIR73,0,IAA,196,0.770408163,
1344,hawaiian,20160829,ewIR73,0,IAA,239,0.435146444,
1350,hawaiian,20160829,ewIR73,0,IAA,208,0.384615385,
1356,hawaiian,20160829,ewIR73,0,IAA,175,0.211428571,
1362,hawaiian,20160829,ewIR73,0,IAA,184,0.565217391,
1368,hawaiian,20160829,ewIR73,0.15,IAA,52,0.057692308,
1374,hawaiian,20160829,ewIR73,0.15,IAA,50,0.14,
1380,rescue,20160829,ewIR74r,0.15,IAA,52,0.057692308,
1398,odor,20160830,N2,0.15,butanone,51,0.117647059,
1404,odor,20160830,N2,0.15,butanone,53,0.339622642,
1428,odor,20160830,N2,0.15,nonanone,62,-0.112903226,
1440,odor,20160830,N2,0.15,nonanone,67,0.179104478,
1446,odor,20160830,N2,0.15,nonanone,56,0,
1452,odor,20160830,N2,0.15,nonanone,68,-0.044117647,
1458,odor,20160830,N2,0.15,nonanone,57,0.333333333,
1464,odor,20160830,N2,0,butanone,218,0.729357798,
1470,odor,20160830,N2,0,nonanone,67,-0.417910448,
1476,odor,20160830,N2,0,nonanone,93,-0.47311828,
1482,odor,20160830,N2,0,nonanone,238,-0.298319328,
1488,odor,20160830,N2,0,butanone,186,0.61827957,
1494,odor,20160830,N2,0,nonanone,195,-0.456410256,
1506,odor,20160830,N2,0,butanone,194,0.809278351,
1512,odor,20160830,N2,0,butanone,128,0.65625,
1518,hawaiian,20160831,ewIR74,0.15,IAA,65,0.169230769,
1524,hawaiian,20160831,ewIR76,0,IAA,125,0.84,
1530,hawaiian,20160831,ewIR74,0,IAA,241,0.966804979,
1542,hawaiian,20160831,ewIR76,0,IAA,191,0.905759162,
1548,hawaiian,20160831,hawaiian,0,IAA,110,0.018181818,
1554,hawaiian,20160831,ewIR74,0,IAA,218,0.5,
1560,hawaiian,20160831,ewIR74,0,IAA,89,0.224719101,
1566,hawaiian,20160831,ewIR74,0.15,IAA,111,0.162162162,
1572,hawaiian,20160831,ewIR76,0,IAA,140,0.65,
1578,hawaiian,20160831,hawaiian,0,IAA,109,0.403669725,
1584,hawaiian,20160831,hawaiian,0,IAA,152,0.690789474,
1590,hawaiian,20160831,ewIR74,0,IAA,191,0.821989529,
1596,hawaiian,20160831,ewIR76,0,IAA,132,0.893939394,
1602,hawaiian,20160831,ewIR76,0,IAA,121,0.636363636,
1608,hawaiian,20160831,hawaiian,0.15,IAA,162,0.179012346,
1620,hawaiian,20160831,ewIR76,0.15,IAA,89,0.325842697,
1626,hawaiian,20160831,ewIR74,0.15,IAA,116,0.232758621,
1632,hawaiian,20160831,hawaiian,0.15,IAA,211,0.123222749,
1638,hawaiian,20160831,hawaiian,0.15,IAA,131,0.236641221,
1644,hawaiian,20160831,hawaiian,0.15,IAA,219,0.242009132,
1656,hawaiian,20160831,hawaiian,0.15,,176,-0.017045455,
1662,hawaiian,20160831,ewIR76,0.15,,83,0.192771084,
1674,hawaiian,20160831,ewIR74,0.15,,126,0.325396825,
1680,hawaiian,20160831,ewIR74,0.15,,91,0.307692308,
1686,hawaiian,20160831,ewIR74,0.15,,128,0.140625,
1692,hawaiian,20160831,ewIR74,0.15,,141,-0.184397163,
1698,hawaiian,20160831,hawaiian,0.15,,158,0.170886076,
1704,hawaiian,20160831,hawaiian,0.15,,172,0.203488372,
1722,odor,20160901,N2,0.15,butanone,92,0.119565217,
1728,odor,20160901,N2,0.15,butanone,71,0.492957746,
1740,odor,20160901,N2,0.15,butanone,69,0.202898551,
1758,odor,20160901,N2,0.15,IAA,64,0.625,
1788,odor,20160901,N2,0.15,butanone,63,0.333333333,
1794,odor,20160901,N2,0,IAA,105,0.428571429,
1800,odor,20160901,N2,0,IAA,218,0.298165138,
1806,odor,20160901,N2,0,IAA,156,0.608974359,
1812,odor,20160901,N2,0,IAA,150,0.846666667,
1818,odor,20160901,N2,0.15,IAA,101,-0.188118812,
1830,odor,20160901,N2,0,IAA,131,0.961832061,
1872,odor,20160901,N2,0,butanone,98,0.87755102,
1878,odor,20160901,N2,0,butanone,104,0.759615385,
1884,odor,20160901,N2,0,IAA,93,0.924731183,
1890,odor,20160901,N2,0,IAA,112,0.392857143,
1902,rescue,20160920,ewIR74r,0.15,,74,0.040540541,
1908,rescue,20160920,ewIR74r,0.15,,127,0.181102362,
1914,rescue,20160920,ewIR74r,0.15,,129,0.023255814,
1920,rescue,20160920,ewIR74r,0.15,,120,-0.033333333,
1926,hawaiian,20160920,ewIR73,0.15,,73,-0.01369863,
1932,hawaiian,20160920,ewIR73,0.15,,58,-0.068965517,
1938,hawaiian,20160920,ewIR73,0.15,,76,-0.065789474,
1950,hawaiian,20160920,ewIR73,0.15,,64,-0.09375,
1962,rescue,20160920,ewIR74,0,,162,0.765432099,
1968,hawaiian,20160920,ewIR76,0.15,,60,0.2,
1974,rescue,20160920,ewIR74,0,,121,0.760330579,
1980,hawaiian,20160920,ewIR76,0.15,,53,0.169811321,
1986,hawaiian,20160920,ewIR76,0.15,,57,0.245614035,
1992,hawaiian,20160920,ewIR76,0.15,,50,0.24,
1998,hawaiian,20160920,ewIR76,0.15,,70,-0.157142857,
2004,hawaiian,20160920,ewIR76,0.15,,69,0.057971014,
2016,rescue,20160920,ewIR74,0.15,,66,0.484848485,
2022,rescue,20160920,ewIR74,0.15,,67,0.462686567,
2028,rescue,20160920,ewIR74,0.15,,90,0.444444444,
2034,rescue,20160920,ewIR74,0.15,,60,0.233333333,
2058,odor,20161005,N2,0,pyrazine,234,0.952991453,
2064,odor,20161005,N2,0,pyrazine,198,0.96969697,
2070,odor,20161005,N2,0,pyrazine,192,0.994791667,
2094,odor,20161005,N2,0.15,pyrazine,140,0.942857143,
2100,odor,20161005,N2,0.15,pyrazine,123,0.93495935,
2106,odor,20161005,N2,0.15,pyrazine,140,0.885714286,
2112,odor,20161005,N2,0.15,pyrazine,111,0.873873874,
2118,odor,20161005,N2,0.15,pyrazine,69,0.869565217,
2124,odor,20161005,N2,0.15,pyrazine,96,0.822916667,
2130,odor,20161005,N2,0.15,pyrazine,109,0.935779817,
2196,spots,20161006,N2,0,EE,128,-0.0390625,
2202,spots,20161006,N2,0,EE,119,-0.579831933,
2208,spots,20161006,N2,0,EE,94,0.404255319,
2214,spots,20161006,N2,0,EE,77,0.480519481,
2220,spots,20161006,N2,0,EE,156,-0.08974359,
2226,spots,20161006,N2,0,EE,139,-0.474820144,
2232,spots,20161006,N2,0,DD,71,-0.084507042,
2238,spots,20161006,N2,0,DD,50,-0.48,
2244,spots,20161006,N2,0,DD,68,-0.338235294,
2250,spots,20161006,N2,0,IDI,150,0.8,
2256,spots,20161006,N2,0,IDI,180,0.833333333,
2262,spots,20161006,N2,0,IDI,143,0.797202797,
2268,spots,20161006,N2,0,ISI,185,0.87027027,
2274,spots,20161006,N2,0,ISI,170,0.664705882,
2280,spots,20161006,N2,0,ISI,188,0.611702128,
2286,spots,20161006,N2,0,ISI,122,0.745901639,
2292,rescue,20161012,crispr-r,0,IAA,97,0.793814433,
2304,rescue,20161012,crispr-r,0.15,IAA,61,-0.393442623,
2316,rescue,20161012,crispr-r,0.15,IAA,56,0.017857143,
2328,rescue,20161012,crispr-r,0.15,IAA,55,0.218181818,
2340,rescue,20161012,crispr-r,0.15,IAA,51,0.078431373,
2364,hawaiian,20161014,N2,0.15,IAA,82,0.109756098,
2370,hawaiian,20161014,N2,0.15,IAA,65,0.092307692,
2376,hawaiian,20161014,ewIR73,0.15,IAA,55,-0.109090909,
2382,hawaiian,20161014,ewIR73,0.15,IAA,50,-0.02,
2388,hawaiian,20161014,ewIR73,0.15,IAA,53,0.264150943,
2394,hawaiian,20161014,N2,0.15,IAA,56,-0.035714286,
2400,hawaiian,20161014,N2,0.15,IAA,52,-0.307692308,
2406,hawaiian,20161014,N2,0.15,IAA,67,0.104477612,
2412,hawaiian,20161014,N2,0.15,IAA,66,0.060606061,
2424,hawaiian,20161014,N2,0.15,IAA,61,-0.295081967,
2430,hawaiian,20161014,ewIR76,0.15,IAA,61,-0.114754098,
2436,hawaiian,20161014,ewIR76,0.15,IAA,71,-0.084507042,
2448,hawaiian,20161014,ewIR76,0.15,IAA,67,-0.253731343,
2454,hawaiian,20161014,ewIR76,0.15,IAA,54,0.111111111,
2460,hawaiian,20161014,ewIR76,0.15,IAA,55,0.036363636,
2658,spots,20161024,N2,0.15,IDI,182,0.593406593,
2670,spots,20161024,N2,0.15,ISI,180,0.805555556,
2676,spots,20161024,N2,0.15,ISI,120,0.483333333,
2682,spots,20161024,N2,0.15,ISI,115,0.634782609,
2688,spots,20161024,N2,0.15,IDI,128,0.828125,
2694,spots,20161024,N2,0.15,IDI,93,0.924731183,
2700,spots,20161024,N2,0.15,IDI,158,0.873417722,
2880,odor,20161101,N2,0.15,nonanone,188,0.335106383,
2886,odor,20161101,N2,0.15,nonanone,85,-0.270588235,
2892,odor,20161101,N2,0.15,nonanone,85,-0.094117647,
2898,odor,20161101,N2,0.15,nonanone,79,0,
2904,odor,20161101,N2,0,nonanone,212,-0.443396226,
2910,odor,20161101,N2,0.15,nonanone,66,0.03030303,
2916,odor,20161101,N2,0,nonanone,208,-0.591346154,
2922,odor,20161101,N2,0,pyrazine,208,0.774038462,
2928,odor,20161101,N2,0,pyrazine,221,0.714932127,
2934,odor,20161101,N2,0.15,pyrazine,133,0.571428571,
2940,odor,20161101,N2,0.15,pyrazine,121,0.710743802,
2946,odor,20161101,N2,0.15,pyrazine,122,0.721311475,
2952,odor,20161101,N2,0.15,pyrazine,118,0.728813559,
2964,odor,20161101,N2,0.15,IAA,82,0.524390244,
2970,odor,20161101,N2,0,IAA,120,0.825,
2976,odor,20161101,N2,0,IAA,203,0.748768473,
2982,odor,20161101,N2,0.15,IAA,119,-0.042016807,
2988,odor,20161101,N2,0,pyrazine,180,0.888888889,
2994,spots,20161101,N2,0,ISI,143,0.846153846,
3000,spots,20161101,N2,0,ISI,170,0.729411765,
3006,spots,20161101,N2,0,ISI,151,0.774834437,
3012,spots,20161101,N2,0,IDI,83,0.626506024,
3018,spots,20161101,N2,0,IDI,74,0.648648649,
3024,spots,20161101,N2,0,IDI,88,0.590909091,
3030,spots,20161101,N2,0,DD,147,0.353741497,
3036,spots,20161101,N2,0,DD,142,-0.190140845,
3042,spots,20161101,N2,0,DD,127,0.559055118,
3048,spots,20161101,N2,0,DD,131,0.083969466,
3054,spots,20161101,N2,0,DD,67,0.611940299,
3060,spots,20161101,N2,0,DD,136,0.463235294,
3066,spots,20161101,N2,0,DD,81,0.407407407,
3072,spots,20161101,N2,0,DD,165,0.16969697,
3078,spots,20161101,N2,0,EE,146,-0.212328767,
3084,spots,20161101,N2,0,EE,78,0.307692308,
3090,spots,20161101,N2,0,EE,107,0.448598131,
3096,spots,20161101,N2,0,EE,119,0.386554622,
3108,gpcr,20161103,N2,0,IAA,208,0.783653846,
3120,gpcr,20161103,odr7,0.15,IAA,53,0.018867925,
3126,gpcr,20161103,odr7,0.15,IAA,104,-0.105769231,
3132,gpcr,20161103,odr7,0.15,IAA,64,0.078125,
3144,gpcr,20161103,N2,0.15,IAA,62,0.016129032,
3150,gpcr,20161103,N2,0.15,IAA,59,-0.152542373,
3156,gpcr,20161103,N2,0,IAA,119,0.705882353,
3162,gpcr,20161103,N2,0,IAA,212,0.783018868,
3168,gpcr,20161103,N2,0.15,IAA,62,-0.193548387,
3174,gpcr,20161103,odr7,0.15,IAA,68,0.073529412,
3180,gpcr,20161103,odr7,0.15,IAA,75,-0.16,
3186,gpcr,20161103,odr7,0.15,IAA,91,-0.010989011,
3192,gpcr,20161103,odr7,0.15,IAA,63,0,
3204,gpcr,20161103,odr7,0.15,IAA,135,-0.044444444,
3210,gpcr,20161103,odr7,0.15,IAA,78,0.166666667,
3216,gpcr,20161103,odr7,0.15,IAA,80,0.0125,
3222,hawaiian,20161106,ewIR76,0.15,IAA,103,-0.009708738,
3228,hawaiian,20161106,ewIR76,0.15,IAA,87,0.206896552,
3234,hawaiian,20161106,ewIR76,0.15,IAA,157,0.23566879,
3240,hawaiian,20161106,ewIR76,0.15,IAA,83,0.168674699,
3246,hawaiian,20161106,ewIR76,0.15,IAA,113,-0.212389381,
3252,hawaiian,20161106,ewIR76,0.15,IAA,133,-0.195488722,
3258,hawaiian,20161106,ewIR76,0,IAA,114,0.754385965,
3264,hawaiian,20161106,ewIR76,0,IAA,187,0.673796791,
3270,hawaiian,20161106,ewIR76,0,IAA,68,0.397058824,
3276,hawaiian,20161106,ewIR76,0,IAA,90,0.711111111,
3282,hawaiian,20161106,ewIR74,0,IAA,140,0.635714286,
3288,hawaiian,20161106,ewIR74,0,IAA,143,0.79020979,
3294,hawaiian,20161106,ewIR73,0.15,IAA,79,-0.012658228,
3300,hawaiian,20161106,ewIR73,0.15,IAA,50,0.1,
3306,hawaiian,20161106,ewIR73,0,IAA,118,0.906779661,
3312,hawaiian,20161106,ewIR73,0,IAA,73,0.452054795,
3318,hawaiian,20161106,ewIR73,0,IAA,156,0.858974359,
3324,hawaiian,20161106,ewIR73,0,IAA,111,0.873873874,
3330,hawaiian,20161106,ewIR73,0,IAA,181,0.712707182,
3336,hawaiian,20161106,N2,0.15,IAA,65,0.184615385,
3342,hawaiian,20161106,N2,0.15,IAA,64,-0.25,
3348,hawaiian,20161106,N2,0.15,IAA,66,-0.181818182,
3354,hawaiian,20161106,ewIR73,0.15,IAA,59,0.13559322,
3360,hawaiian,20161106,ewIR73,0.15,IAA,62,0.080645161,
3366,hawaiian,20161106,ewIR73,0.15,IAA,69,-0.043478261,
3372,hawaiian,20161106,N2,0,IAA,186,0.88172043,
3378,hawaiian,20161106,N2,0.15,IAA,181,0.303867403,
3384,hawaiian,20161106,N2,0.15,IAA,79,0.417721519,
3390,hawaiian,20161106,N2,0.15,IAA,60,0.1,
3396,hawaiian,20161106,N2,0.15,IAA,50,0.04,
3402,hawaiian,20161106,N2,0.15,IAA,64,0,
3408,hawaiian,20161106,hawaiian,0.15,IAA,91,0.351648352,
3414,hawaiian,20161106,hawaiian,0.15,IAA,87,0.390804598,
3420,hawaiian,20161106,N2,0,IAA,106,0.622641509,
3426,hawaiian,20161106,N2,0,IAA,78,0.666666667,
3432,hawaiian,20161106,N2,0,IAA,77,0.649350649,
3438,hawaiian,20161106,N2,0,IAA,125,0.776,
3444,hawaiian,20161106,hawaiian,0,IAA,98,0.795918367,
3450,hawaiian,20161106,hawaiian,0,IAA,102,0.774509804,
3456,hawaiian,20161106,hawaiian,0,IAA,106,0.79245283,
3462,hawaiian,20161106,hawaiian,0,IAA,120,0.816666667,
3468,hawaiian,20161106,hawaiian,0.15,IAA,110,0.481818182,
3474,hawaiian,20161106,hawaiian,0.15,IAA,120,0.308333333,
3480,hawaiian,20161106,ewIR76,0.15,IAA,141,0.063829787,
3486,hawaiian,20161106,ewIR76,0.15,IAA,108,0.166666667,
3516,hawaiian,20161106,ewIR74,0.15,IAA,63,0.412698413,
3522,odor,20161107,N2,0,pyrazine,127,0.622047244,
3528,odor,20161107,N2,0,pyrazine,156,0.641025641,
3534,odor,20161107,N2,0.15,pyrazine,85,0.788235294,
3540,odor,20161107,N2,0.15,pyrazine,95,0.842105263,
3546,odor,20161107,N2,0.15,pyrazine,107,0.644859813,
3558,odor,20161107,N2,0,butanone,155,0.961290323,
3564,odor,20161107,N2,0,butanone,239,0.870292887,
3570,odor,20161107,N2,0,butanone,239,0.949790795,
3576,odor,20161107,N2,0,butanone,176,0.977272727,
3582,odor,20161107,N2,0.15,nonanone,106,0.094339623,
3588,odor,20161107,N2,0.15,nonanone,75,0.04,
3594,odor,20161107,N2,0.15,nonanone,70,-0.314285714,
3600,odor,20161107,N2,0,nonanone,98,-0.683673469,
3606,odor,20161107,N2,0,nonanone,171,-0.50877193,
3612,odor,20161107,N2,0,butanone,176,0.977272727,
3636,odor,20161107,N2,0.15,butanone,85,0.470588235,
3648,odor,20161107,N2,0.15,butanone,66,0.287878788,
3678,odor,20161107,N2,0.15,butanone,79,0.35443038,
3684,odor,20161107,N2,0.15,butanone,120,0.233333333,
3690,odor,20161107,N2,0,IAA,217,0.884792627,
3726,odor,20161107,N2,0.15,IAA,54,-0.037037037,
3732,odor,20161107,N2,0.15,IAA,55,-0.018181818,
3738,odor,20161107,N2,0,IAA,196,0.836734694,
3744,odor,20161107,N2,0,IAA,226,0.867256637,
3750,odor,20161107,N2,0,IAA,224,0.928571429,
3756,odor,20161107,N2,0,IAA,126,0.992063492,
4068,hawaiian,20161202,ewIR74,0.15,IAA,62,0.451612903,
4074,hawaiian,20161202,ewIR74,0.15,IAA,78,0.294871795,
4080,hawaiian,20161202,ewIR74,0.15,IAA,62,0.532258065,
4086,hawaiian,20161202,ewIR74,0.15,IAA,76,-0.026315789,
4092,hawaiian,20161202,ewIR74,0,IAA,186,0.586021505,
4098,hawaiian,20161202,ewIR74,0,IAA,145,0.6,
4104,hawaiian,20161202,ewIR73,0.15,IAA,62,-0.290322581,
4110,hawaiian,20161202,ewIR73,0.15,IAA,55,0,
4116,hawaiian,20161202,ewIR74,0.15,IAA,69,0.47826087,
4122,hawaiian,20161202,ewIR74,0.15,IAA,62,-0.14516129,
4128,hawaiian,20161202,ewIR74,0,IAA,164,0.548780488,
4134,hawaiian,20161202,ewIR74,0.15,IAA,67,0.044776119,
4140,hawaiian,20161202,hawaiian,0.15,IAA,235,0.480851064,
4146,hawaiian,20161202,hawaiian,0.15,IAA,190,0.552631579,
4152,hawaiian,20161202,hawaiian,0.15,IAA,151,0.066225166,
4158,hawaiian,20161202,ewIR73,0,IAA,205,0.648780488,
